ItemNumberorderableSKU,Description,Vendor,OEM,OEMPartNumber,ConditionCode,QOH,InStock,LeadTime,InventoryID,RefNoteID,Attribute,RefNoteID_2,Attribute_2,InventoryID_2,Subitem,Warehouse,Location,InventoryID_3,Subitem_2,Warehouse_2,RefNoteID_3,Attribute_3,InventoryID_4,Currency,ReplClass,InventoryID_5,CuryID,Warehouse_3,LocationID,RefNoteID_4,Attribute_4
02893-100,Welch Allyn Oral Temperature Cable with Square Well Kit (9 ft),Avante Health Solutions (APM-PATIENT MONITORING),Welch Allyn,02895-000,New OEM,37.000000,Y,1-5 days,02893-100,31d70223-6864-ea11-817b-a9605c8569c6,MANUFACTUR,31d70223-6864-ea11-817b-a9605c8569c6,MFGPARTNO,02893-100,0,APM MAIN,F06B1,02893-100,0,APM MAIN,31d70223-6864-ea11-817b-a9605c8569c6,PARTGROUP,02893-100,USD,PURCHASE,68309,USD,APM MAIN,F06B1,31d70223-6864-ea11-817b-a9605c8569c6,PSAPMPART
02895-000,Welch Allyn Oral Round Well Temperature Probe with 9' Cable Length (OEM New),Avante Health Solutions (APM-PATIENT MONITORING),Philips,0950-4319,Refurbished,20.000000,Y,1-5 days,02895-000,57d70223-6864-ea11-817b-a9605c8569c6,MANUFACTUR,57d70223-6864-ea11-817b-a9605c8569c6,MFGPARTNO,02895-000,0,APM MAIN,F06H1,02895-000,0,APM MAIN,57d70223-6864-ea11-817b-a9605c8569c6,PARTGROUP,02895-000,USD,PURCHASE,68311,USD,APM MAIN,F06H1,57d70223-6864-ea11-817b-a9605c8569c6,PSAPMPART
147077-100-C,"Alaris 8000 & 8015 PCU, 8110 & 8120 Syringe Pump, 8100 Pump, & 8300 etCO2 IUI Connector (Right) (New Replacement)",Avante Health Solutions (APM-PATIENT MONITORING),Avante,147078-100,New Aftermarket,114.000000,Y,1-5 days,147077-100-C,3891b918-455b-eb11-8172-12e75f4d5d6d,MANUFACTUR,3891b918-455b-eb11-8172-12e75f4d5d6d,MFGPARTNO,147077-100-C,0,APM MAIN,F13B2,147077-100-C,0,APM MAIN,3891b918-455b-eb11-8172-12e75f4d5d6d,PARTGROUP,147077-100-C,USD,PURCHASE,137649,USD,APM MAIN,F13B2,3891b918-455b-eb11-8172-12e75f4d5d6d,PSAPMPART
147078-100-C,"Alaris 8000 & 8015 PCU, 8100, 8110 & 8120 Syringe Pump, & 8300 etCO2 IUI Connector & Gasket Seal Kit Left (New Replacement)",Avante Health Solutions (APM-PATIENT MONITORING),Avante,147080-100-4,New Aftermarket,116.000000,Y,1-5 days,147078-100-C,1b5d4745-465b-eb11-8172-12e75f4d5d6d,MANUFACTUR,1b5d4745-465b-eb11-8172-12e75f4d5d6d,MFGPARTNO,147078-100-C,0,APM MAIN,F13B2,147078-100-C,0,APM MAIN,1b5d4745-465b-eb11-8172-12e75f4d5d6d,PARTGROUP,147078-100-C,USD,PURCHASE,137650,USD,APM MAIN,F13B2,1b5d4745-465b-eb11-8172-12e75f4d5d6d,PSAPMPART
147080-100-4-C,"Alaris 8000 & 8015 PCU, 8100 Pump, & 8300 etCO2 Latch Support (New Replacement)",Avante Health Solutions (APM-PATIENT MONITORING),Avante,147795-001,New Aftermarket,306.000000,Y,1-5 days,147080-100-4-C,aaa61fe7-d902-eb11-8181-1296c0afa970,MANUFACTUR,aaa61fe7-d902-eb11-8181-1296c0afa970,MFGPARTNO,147080-100-4-C,0,APM MAIN,F13H1,147080-100-4-C,0,APM MAIN,aaa61fe7-d902-eb11-8181-1296c0afa970,PARTGROUP,147080-100-4-C,USD,PURCHASE,117525,USD,APM MAIN,F13H1,aaa61fe7-d902-eb11-8181-1296c0afa970,PSAPMPART
147795-001-C,Alaris 8110 Syringe pump module left handle (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),Avante,147796-001,New Aftermarket,26.000000,Y,1-5 days,147795-001-C,5f9c17ed-d902-eb11-8181-1296c0afa970,MANUFACTUR,5f9c17ed-d902-eb11-8181-1296c0afa970,MFGPARTNO,147795-001-C,0,APM MAIN,F13G2,147795-001-C,0,APM MAIN,5f9c17ed-d902-eb11-8181-1296c0afa970,PARTGROUP,147795-001-C,USD,PURCHASE,117526,USD,APM MAIN,F13G2,5f9c17ed-d902-eb11-8181-1296c0afa970,PSAPMPART
147796-001-C,Alaris 8110 Syringe pump module right handle (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),GE,2008329-001,New Aftermarket,371.000000,Y,1-5 days,147796-001-C,f79c17ed-d902-eb11-8181-1296c0afa970,MANUFACTUR,f79c17ed-d902-eb11-8181-1296c0afa970,MFGPARTNO,147796-001-C,0,APM MAIN,E13H1,147796-001-C,0,APM MAIN,f79c17ed-d902-eb11-8181-1296c0afa970,PARTGROUP,147796-001-C,USD,PURCHASE,117527,USD,APM MAIN,F13F2,f79c17ed-d902-eb11-8181-1296c0afa970,PSAPMPART
15244A-C,Philips Conn Remote Startup Switch (15244A Direct Replacement) (New Replacement),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1843,New Aftermarket,19.000000,Y,1-5 days,15244A-C,31f5120a-3f9d-eb11-8175-12e75f4d5d6d,MANUFACTUR,31f5120a-3f9d-eb11-8175-12e75f4d5d6d,MFGPARTNO,15244A-C,0,APM MAIN,F06A1,15244A-C,0,APM MAIN,31f5120a-3f9d-eb11-8175-12e75f4d5d6d,PARTGROUP,15244A-C,USD,PURCHASE,139452,USD,APM MAIN,F06A1,31f5120a-3f9d-eb11-8175-12e75f4d5d6d,PSAPMPART
1645,Masimo LNOP to LNC MAC-1 SpO2 Extension Cable,Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1778,New OEM,5.000000,Y,1-5 days,1645,3a1fef82-6864-ea11-817b-a9605c8569c6,MANUFACTUR,3a1fef82-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1645,0,APM MAIN,F05D1,1645,0,APM MAIN,3a1fef82-6864-ea11-817b-a9605c8569c6,PARTGROUP,1645,USD,PURCHASE,68914,USD,APM MAIN,F05D1,3a1fef82-6864-ea11-817b-a9605c8569c6,PSAPMPART
1863,Masimo SET LNCS DC-I Adult Reusable Hard Shell SpO2 Sensor LNCS 9 Pin Connector 3' Cable (OEM New) (Avante P/N NHMA1027),Avante Health Solutions (APM-PATIENT MONITORING),MASIMO,1864,New OEM,40.000000,Y,1-5 days,1863,1222ef82-6864-ea11-817b-a9605c8569c6,MANUFACTUR,1222ef82-6864-ea11-817b-a9605c8569c6,MFGPARTNO,1863,0,APM MAIN,F05E1,1863,0,APM MAIN,1222ef82-6864-ea11-817b-a9605c8569c6,PARTGROUP,1863,USD,PURCHASE,68952,USD,APM MAIN,F05E1,1222ef82-6864-ea11-817b-a9605c8569c6,PSAPMPART
