InventoryID,ItemNumber,Vendor,OEM,PartDescription,ListPrice,OutrightCosttoPartsSource,ExchangeCost,CoreCharge,ConditionCode,UOM,QTYUOM,StockYN,QOH,LeadTime,CompatibleModels,ManufacturedYear,Usage,InventoryID_2,InventoryID_3,CuryID,Subitem,Warehouse,InventoryID_4,Subitem_2,Warehouse_2,Location,RefNoteID,Attribute,InventoryID_5,Currency,ReplClass,Warehouse_3,LocationID
00-00085G,00-00085G,Avante Health Solutions,Needs Exploration,"Icron USB Rover 2650, 2-port extender",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-00085G,158062,USD,0,ADI MAIN,,,,,f057b2f4-de48-ed11-8188-12e75f4d5d6d,PARTGROUP,00-00085G,USD,PURCHASE,,
00-00085G-N,00-00085G-N,Avante Health Solutions,Needs Exploration,"Icron USB Rover 2650, 2-port extender",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,New OEM,Each,Each,Y,,1-5 Days,,,,00-00085G-N,158063,USD,0,ADI MAIN,,,,,9d29b60c-df48-ed11-8188-12e75f4d5d6d,PARTGROUP,00-00085G-N,USD,PURCHASE,,
001267 INC,001267 INC,Avante Health Solutions,,Mobile Lock Box Keysafe Pro w/o Face,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,001267 INC,63034,USD,0,ADI MAIN,,,,,2cc00e56-3264-ea11-817b-a9605c8569c6,PARTGROUP,001267 INC,USD,PURCHASE,,
0022-30-33013,0022-30-33013,Avante Health Solutions,MINDRAY,"Needle Guide Bracket, Mindray",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,1.000000,1-5 Days,,,,0022-30-33013,76393,USD,0,AUE MAIN,0022-30-33013,0,AUE MAIN,E27,e18402a2-6868-ea11-817c-8cbf77a7ab76,PARTGROUP,0022-30-33013,USD,PURCHASE,AUE MAIN,E27
00875631-12,00875631-12,Avante Health Solutions,,SRAM,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00875631-12,139122,USD,0,ADI MAIN,,,,,fbf07cc3-ce90-eb11-8174-12e75f4d5d6d,PARTGROUP,00875631-12,USD,PURCHASE,,
00-876781-01,00-876781-01,Avante Health Solutions,GE,Service Disc,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-876781-01,62925,USD,0,ADI MAIN,,,,,1de3064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-876781-01,USD,PURCHASE,,
00-877366-02,00-877366-02,Avante Health Solutions,GE,Ribbon Cable Assy,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-877366-02,62928,USD,0,ADI MAIN,,,,,56e3064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-877366-02,USD,PURCHASE,,
00-877448-01,00-877448-01,Avante Health Solutions,GE,COLLIMATOR COVER GASKET,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-877448-01,62929,USD,0,ADI MAIN,,,,,69e3064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-877448-01,USD,PURCHASE,,
00-879056-04,00-879056-04,Avante Health Solutions,,System Interface Board,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-879056-04,102397,USD,0,ADI MAIN,,,,,04769684-13d5-ea11-817e-fabae30ee089,PARTGROUP,00-879056-04,USD,PURCHASE,,
00-879364-03,00-879364-03,Avante Health Solutions,GE,Printed Circuit Board Assy. Backplane,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-879364-03,62943,USD,0,ADI MAIN,,,,,73e4064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-879364-03,USD,PURCHASE,,
00-87943-01,00-87943-01,Avante Health Solutions,GE,"CABLE, RIBBON",Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-87943-01,62945,USD,0,ADI MAIN,,,,,99e4064a-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-87943-01,USD,PURCHASE,,
00-880616-01,00-880616-01,Avante Health Solutions,GE,Monitor Bezel,Call for Quote,2.5 time exhange cost,Call for Quote,1.5 time exhange cost,Refurbished,Each,Each,Y,,1-5 Days,,,,00-880616-01,62963,USD,0,ADI MAIN,,,,,2d8c0950-3264-ea11-817b-a9605c8569c6,PARTGROUP,00-880616-01,USD,PURCHASE,,
